Programme_Code,Programme_Title,Programme_Category,School,Department
WD_CINNT_R,MEngSc in Innovative Tech,26,Engineering,Technology
WD_CONMT_B,BSc (H) in Construction Management,11,Engineering,Built Environment
WD_CPROM_R,MSc in Construction Project Management,26,Engineering,Technology
WD_CQTSU_B,BSc (Hons) Quantity Surveying,11,Engineering,Built Environment
WD_DPROJ_SP,Certificate in Project Management,15,SoELL,SoELL
WD_DVISC_B,BA ((Hons) Design Visual Comm,11,Humanities,Arts
WD_EADMA_D,Bachelor of Science in Additive Manufacturing,10,Engineering,Technology
WD_EAUTO_B,Bachelor of Engineering (H) in Automation Engineering,11,Engineering,Technology
WD_EAUTO_MA,Certificate in Automation Engineering,15,Engineering,Technology
WD_EBUIL_PJ,Doctor of PhilosophY,27,Engineering,Built Environment
WD_EBUIL_PS,PhD in Engineering,27,Engineering,Built Environment
WD_ECIEN_D,BEng in Civil Engineering,10,Engineering,Built Environment
WD_EEELC_B,BEng (H) in Electronic Engineering,11,Engineering,Technology
WD_EEENG_D,BEng in Electronic Engineering,10,Engineering,Technology
WD_EELCT_D,BEng in Electrical Engineering,10,Engineering,Technology
WD_EELEC_C,HC in Electronic Engineering,16,Engineering,Technology
WD_EENCE_B,Bachelor of Engineering (Honours) common entry,11,Engineering,Technology
WD_EENGR_P,Postgraduate Studies - Engineering,27,Engineering,Technology
WD_EENGR_PS,PhD in Engineering,27,Engineering,Technology
WD_EETEC_P,PhD in Engineering,27,Engineering,Technology
WD_EETEC_PS,PhD in Engineering,27,Engineering,Technology
WD_EMANF_C,HC in Manufacturing Engineering,16,Engineering,Technology
WD_EMANF_D,BEng in Manu Engineering,10,Engineering,Technology
WD_EMANU_D,Bachelor of Engineering in Manufacturing Engineering (ND),10,Engineering,Technology
WD_EMECH_C,HC in Mechanical Engineering,16,Engineering,Technology
WD_EMECH_D,BEng in Mechanical Engineering,10,Engineering,Technology
WD_EMSEN_B,BEng (H) Mech & Manufacturing,11,Engineering,Technology
WD_ENZEB_MA,Certificate in nZEB Design,23,Engineering,Built Environment
WD_EONIC_B,Bachelor of Engineering (Honours) in Electronic (BEng),11,Engineering,Technology
WD_ESCIV_B,BEng (H) in Sustainable Civil Engineering,11,Engineering,Built Environment
WD_ESERG_B,BEng (H) in Sustainable Energy Engineering,11,Engineering,Built Environment
WD_ESERG_R,Master of Science in Sustainable Energy Engineering,26,Engineering,Built Environment
WD_ESITE_D, Bachelor of Science in Construction site Management,10,Engineering,Built Environment
WD_ESUSE_B,BEng (H) in Sustainable Civil Engineering,11,Engineering,Built Environment
WD_ETRIC_B,BEng ( H) in Electrical Engineering,11,Engineering,Technology
WD_FTOUR_C,HC in Business (Tourism),16,Humanities,Arts
WD_GARTS_MS,Master of Arts,26,Humanities,Arts
WD_GARTS_P,PhD in Arts,27,Humanities,Arts
WD_GARTS_PJ,PhD in Arts,27,Humanities,Arts
WD_GARTS_PS,PhD in Arts,27,Humanities,Arts
WD_GMUSI_B,BA (H) in Music,11,Humanities,Arts
WD_HAFSH_R,MA in Advanced Facilitation Skills for Health & Well Being,25,Health Sciences,Sport & Exercise Science
WD_HAPSC_D,BA in Applied Social Care,10,Humanities,Social Care and Early Childhood Studies
WD_HARTI_B,Bachelor of Arts (Honours)-International,11,Humanities,Arts
WD_HARTS_B,Bachelor of Arts (Honours),11,Humanities,Arts
WD_HCASC_D,Bachelor of Ars in Applied Social Care ,10,Humanities,Social Care and Early Childhood Studies
WD_HCRJU_B,BA (H) in Criminal Justice Stu,11,Humanities,Law and Criminal Justice Studies
WD_HCSCP_B,BA (H) in Social Care Practice,11,Humanities,Social Care and Early Childhood Studies
WD_HCULA_B,Bachelor of Arts (Honours) in Culinary Arts,11,Humanities,Arts
WD_HCULA_C,HC in Culinary Arts,16,Humanities,Arts
WD_HCULA_SP,Higher Cert in Culinary Science,15,Humanities,Arts
WD_HCURE_C,Higher Cert in Custodial Care,16,Humanities,Law and Criminal Justice Studies
WD_HEALS_D,BSc in Health Care Studies,10,Health Sciences,Nursing & Health Care
WD_HECCE_B,Bachelor of Arts (H) in Early Childhood Studies,11,Humanities,Social Care and Early Childhood Studies
WD_HECHS_B,BA (H) in Early Childhood Stud,11,Humanities,Social Care and Early Childhood Studies
